product_name,price,alink,store_name,brand_name,price_range,rating,sold,platform
[in stock] Keychron K6 คีย์บอร์ดบลูทูธ  68 คีย์ เข้ากันได้สองระบบ  สำหรับ Mac / windows,2440,https://shopee.co.th/-in-stock-Keychron-K6-คีย์บอร์ดบลูทูธ-68-คีย์-เข้ากันได้สองระบบ-สำหรับ-Mac-windows-i.290039395.9027339429?sp_atk=5a262bc2-66c6-43c9-823b-8035474f8ccb&xptdk=5a262bc2-66c6-43c9-823b-8035474f8ccb,kongjianzhan.th,Keychron(คีย์ครอน),"฿2,440 - ฿6,556",4.9,317,shopee
#แป้นภาษาไทย Dell KM7321W Premier Multi-Device Wireless Keyboard and Mouse Bluetooth,2690,https://shopee.co.th/-แป้นภาษาไทย-Dell-KM7321W-Premier-Multi-Device-Wireless-Keyboard-and-Mouse-Bluetooth-i.25485111.20603439875?sp_atk=2841ecab-a60b-4a28-bb9a-3744f0c6b83d&xptdk=2841ecab-a60b-4a28-bb9a-3744f0c6b83d,nextplay_shop,Dell(เดล),"฿2,690",4.9,73,shopee
Keychron V5 QMK/VIA Change Key Customized Mechanical Keyboard RGB Hot Plugging Keyboard,2550,https://shopee.co.th/Keychron-V5-QMK-VIA-Change-Key-Customized-Mechanical-Keyboard-RGB-Hot-Plugging-Keyboard-i.145792167.18663062794?sp_atk=8ea6e680-3694-41ce-8cdb-637c263efce9&xptdk=8ea6e680-3694-41ce-8cdb-637c263efce9,kongjianzhan01.th,None,"฿2,550 - ฿2,950",5.0,15,shopee
Logitech POP KEY keyboard wireless&bluetooth ประกันไทย,2590,https://shopee.co.th/Logitech-POP-KEY-keyboard-wireless-bluetooth-ประกันไทย-i.6427561.18043241962?sp_atk=d9aef02a-5f8d-43b0-8b57-24c5c37c580d&xptdk=d9aef02a-5f8d-43b0-8b57-24c5c37c580d,gadjet_it,Logitech,"฿2,590",None,0,shopee
Keychron K3 Pro คีย์บอร์ดไร้สาย 75% แบบบางพิเศษ,3040,https://shopee.co.th/Keychron-K3-Pro-คีย์บอร์ดไร้สาย-75-แบบบางพิเศษ-i.290039395.15896111173?sp_atk=d3ae0af4-bfe5-411c-9e5b-476684d3bc08&xptdk=d3ae0af4-bfe5-411c-9e5b-476684d3bc08,kongjianzhan.th,None,"฿3,040 - ฿3,489",None,0,shopee
Keychron keycap PBT Retro Set OEM XDA profile (italic version) คีย์ภาษาไทย K2 Q1,1590,https://shopee.co.th/Keychron-keycap-PBT-Retro-Set-OEM-XDA-profile-(italic-version)-คีย์ภาษาไทย-K2-Q1-i.241119803.17115181949?sp_atk=473c9867-d3f5-481b-a7c6-855d7748f162&xptdk=473c9867-d3f5-481b-a7c6-855d7748f162,keychronthailand,Keychron(คีย์ครอน),"฿1,590",5.0,88,shopee
Keychron K2 V.2 Hotswappable (Key ENG) Mechanical Keyboard RGB Aluminum Frame คีย์บอร์ดไร้สาย,2001,https://shopee.co.th/Keychron-K2-V.2-Hotswappable-(Key-ENG)-Mechanical-Keyboard-RGB-Aluminum-Frame-คีย์บอร์ดไร้สาย-i.871633783.18550040491?sp_atk=d2cfcb0d-1097-4f5e-a77e-c849cc61dafb&xptdk=d2cfcb0d-1097-4f5e-a77e-c849cc61dafb,x8u2s9fqct,None,"฿2,001 - ฿4,042",None,0,shopee
Keychron Keycap Set PBT OEM Profile Dye-Sub-Christmas Tree คีย์ครอน ปุ่มคีย์แคปภาษาอังกฤษสำหรับคีย์บอร์ดรุ่น K2/Q1/Q2,796,https://shopee.co.th/Keychron-Keycap-Set-PBT-OEM-Profile-Dye-Sub-Christmas-Tree-คีย์ครอน-ปุ่มคีย์แคปภาษาอังกฤษสำหรับคีย์บอร์ดรุ่น-K2-Q1-Q2-i.877726249.21065579446?sp_atk=72f0706c-ec66-4ca5-af76-e3303d3a6842&xptdk=72f0706c-ec66-4ca5-af76-e3303d3a6842,_eauc5rmwq,None,฿796,None,0,shopee
❉✁ชุดปุ่มกดคีย์บอร์ด OEM XDA PBT สไตล์เรโทร สําหรับ keychron K2 Q1 K4 K6 K8 K12,539,https://shopee.co.th/❉✁ชุดปุ่มกดคีย์บอร์ด-OEM-XDA-PBT-สไตล์เรโทร-สําหรับ-keychron-K2-Q1-K4-K6-K8-K12-i.908496885.18766009376?sp_atk=4b27a44b-1568-4942-8a04-88991e8bf74e&xptdk=4b27a44b-1568-4942-8a04-88991e8bf74e,81p138kukk,None,฿539 - ฿659,None,0,shopee
[ประกันไทย] [in stock] Keychron K2 V2 RGB คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดไร้สาย - ระบบย้อนแสง,1689,https://shopee.co.th/-ประกันไทย-in-stock-Keychron-K2-V2-RGB-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-i.915320208.22110038021?sp_atk=2b4562b4-81ab-4035-8f20-007040038247&xptdk=2b4562b4-81ab-4035-8f20-007040038247,bss0j524hf,None,"฿1,689 - ฿1,958",None,0,shopee
