alink,product_name,price,sold,matched,store_name,brand_name,specification,rating,platform
https://www.lazada.co.th/products/keychron-k4-wireless-keyboard-thai-96-i764908220.html,Keychron K4 Wireless Keyboard Thai (คีย์บอร์ดไร้สายภาษาไทยขนาด 96%),"฿4,390.00",792 ชิ้น,True,Keychron,Keychron,Dark Gray,,lazada
https://www.lazada.co.th/products/keychron-k4-hotswap-key-eng-mechanical-keyboard-wireless-100-i4025624141.html,Keychron K4 hotswap (Key ENG) Mechanical Keyboard คีย์บอร์ดไร้สาย Wireless แท้100% ถูกสุดในโลก,"฿3,799.00",,True,BIGPENGUIN,No Brand,Aluminium -Dark Grey,,lazada
https://www.lazada.co.th/products/keychron-k4-g-v2-w-backlight-hot-swappable-switch-usb-i2412187148.html,Keychron K4 G V2บลูทูธไร้สายคีย์บอร์ดแบบกลไก W/สีขาว Backlight Hot-Swappable Switch การเล่นเกม USB แบบมีสายแป้นพิมพ์,"฿3,599.00",,True,Keychron dealer,Keychron,Blue,,lazada
https://www.lazada.co.th/products/in-stock-keychron-k4-v2-mode-5-1-i4019688539.html,[ประกันไทย] [in stock] Keychron K4 V2 คีย์บอร์ด สินค้าถ่ายจากงานจริง 💯% คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1 คีย์ภาษาไทย,"฿3,150.00",67 ชิ้น,True,gMPrbXQX,No Brand,Red switch-K4 RGB,,lazada
https://www.lazada.co.th/products/keychron-k4-v2-mode-5-1-i3592149430.html,Keychron K4 V2  เอฟเฟกต์แสงหลายโหมดแบบคู่ คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1  ของใหม่แท้💯%,"฿3,150.00",139 ชิ้น,True,cc Key Shop,No Brand,Brown switch-K4 LED,,lazada
https://www.lazada.co.th/products/100keychron-k4-v2-51-rgb-wireless-mechanical-keyboard-i3996390597.html,【พร้อมส่งของแท้100%】Keychron K4 V2 คีย์บอร์ดไร้สาย บลูทูธ 5.1 RGB Wireless mechanical keyboard โหมดคู่ เอฟเฟคไฟหลายแบบ,"฿3,140.00",56 ชิ้น,True,LL earphone shop,No Brand,Blue switch-K4 RGB,,lazada
https://www.lazada.co.th/products/keychron-k4-v2-aluminum-rgb-backlight-hot-swappable-dark-grey-th-i4369900335.html,Keychron K4 V.2 Aluminum RGB Backlight Hot-swappable Dark Grey (TH),"฿4,390.00",,True,Pezlato,Keychron,Brown SW,,lazada
https://www.lazada.co.th/products/keychron-k4-j-v2-rgb-backlight-hot-swap-switch-usb-gaming-keyboard-i4202157115.html,Keychron K4 J V2บลูทูธไร้สายคีย์บอร์ด RGB Backlight Hot-Swap Switch กรอบอลูมิเนียมแบบมีสาย USB Gaming Keyboard,"฿8,821.00",,True,lan.g,No Brand,Brown Switches,,lazada
https://www.lazada.co.th/products/keychron-k4-v2-w-usb-i4201932593.html,Keychron K4กรัม V2บลูทูธคีย์บอร์ดไร้สายวิศวกรรม W/ แสงไฟสีขาวร้อนถอดเปลี่ยนได้สวิทช์สาย USB คีย์บอร์ดเกม,"฿7,336.00",,True,lan.g,No Brand,Red Switches,,lazada
https://www.lazada.co.th/products/keychron-k4-h-v2-wrgb-backlight-hot-swappable-switch-usb-gaming-keyboard-i4111494977.html,Keychron K4 H V2บลูทูธคีย์บอร์ดไร้สาย W/rgb Backlight Hot-Swappable Switch แบบมีสาย USB Gaming Keyboard,"฿6,655.00",,True,jAtiuh82,No Brand,Red Switches,,lazada
