product_name,price,alink,matched,store_name,brand_name,price_range,rating,sold,platform
Keychron K4 V.2 Hotswappable (Key ENG) ⌨ ขนาด 96% - 100 Keys ‼️ คีย์บอร์ดไร้สาย Bluetooth 🔥🔥🔥,4190,https://shopee.co.th/Keychron-K4-V.2-Hotswappable-(Key-ENG)-⌨-ขนาด-96-100-Keys-‼️-คีย์บอร์ดไร้สาย-Bluetooth-🔥🔥🔥-i.5890399.6896921535?sp_atk=4cf3febd-faf3-40d2-bc4c-ef65c41bb816&xptdk=4cf3febd-faf3-40d2-bc4c-ef65c41bb816,TRUE,hardware_riser,Keychron(คีย์ครอน),"฿4,190",5,112,shopee
Keychron K4V2 คีย์ครอน K4 คีย์บอร์ดไร้สาย Wireless Hot swappable mechanical keyboard,4190,https://shopee.co.th/Keychron-K4V2-คีย์ครอน-K4-คีย์บอร์ดไร้สาย-Wireless-Hot-swappable-mechanical-keyboard-i.476489215.10616415728?sp_atk=211a0ec6-65a5-4aa1-873f-ecdba233e2f4&xptdk=211a0ec6-65a5-4aa1-873f-ecdba233e2f4,TRUE,mechanicpro_official,Keychron(คีย์ครอน),"฿4,190 - ฿4,390",5,64,shopee
Keychron ที่พักข้อมือไม้วอลนัท สําหรับ K2 K4 K6 K8 K10 Q1 Q2,569,https://shopee.co.th/Keychron-ที่พักข้อมือไม้วอลนัท-สําหรับ-K2-K4-K6-K8-K10-Q1-Q2-i.290039395.9316158128?sp_atk=5ac743c8-bd55-4096-adfa-045b90cbf017&xptdk=5ac743c8-bd55-4096-adfa-045b90cbf017,TRUE,kongjianzhan.th,Keychron(คีย์ครอน),฿569,4.8,1.9พัน,shopee
Keychron K4 V.2 Hotswappable (Key ENG) ⌨ ขนาด 96% - 100 Keys ‼️ คีย์บอร์ดไร้สาย Bluetooth,1729,https://shopee.co.th/Keychron-K4-V.2-Hotswappable-(Key-ENG)-⌨-ขนาด-96-100-Keys-‼️-คีย์บอร์ดไร้สาย-Bluetooth-i.913934953.23511000262?sp_atk=9048df2a-1e4d-43c8-a3ad-74e4712f530b&xptdk=9048df2a-1e4d-43c8-a3ad-74e4712f530b,TRUE,h_skwf_p7j,None,"฿1,729",None,0,shopee
[ประกันไทย] [in stock] Keychron K4 V2 คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1 คีย์ภาษาไ,1364,https://shopee.co.th/-ประกันไทย-in-stock-Keychron-K4-V2-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดบลูทูธ-แบบไร้สาย-Mode-5-.-1-คีย์ภาษาไ-i.913934953.23510998741?sp_atk=92ade882-5fc2-4485-9f44-9ec04e7c63a0&xptdk=92ade882-5fc2-4485-9f44-9ec04e7c63a0,TRUE,h_skwf_p7j,None,"฿1,364 - ฿3,006",None,0,shopee
Keychron Wooden Palmrest for K4 (Solid wooden palm rest) ไม้รองข้อมือ สำหรับคีย์บอร์ดรุ่น K4,513,https://shopee.co.th/Keychron-Wooden-Palmrest-for-K4-(Solid-wooden-palm-rest)-ไม้รองข้อมือ-สำหรับคีย์บอร์ดรุ่น-K4-i.913932026.22711052482?sp_atk=624b046e-0180-412d-8085-a98dc5518311&xptdk=624b046e-0180-412d-8085-a98dc5518311,TRUE,e9chw8fukg,None,฿513,None,0,shopee
【ของแท้ใหม่】in stockแ Keychron K4 V2พร้อมส่งของแท้💯％ คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1,3280,https://shopee.co.th/【ของแท้ใหม่】in-stockแ-Keychron-K4-V2พร้อมส่งของแท้💯％-คีย์บอร์ดบลูทูธ-แบบไร้สาย-Mode-5-.-1-i.755201256.10394192896?sp_atk=81c1a7c7-a274-4276-9910-672e26b37080&xptdk=81c1a7c7-a274-4276-9910-672e26b37080,TRUE,dsggwe,Keychron(คีย์ครอน),"฿3,280",4.6,1.1พัน,shopee
Keychron K4 Wireless Keyboard Thai (คีย์บอร์ดไร้สายภาษาไทยขนาด 96%),4390,https://shopee.co.th/Keychron-K4-Wireless-Keyboard-Thai-(คีย์บอร์ดไร้สายภาษาไทยขนาด-96-)-i.241119803.3729249856?sp_atk=99f48219-b90c-4d4f-abe9-4d1367811b87&xptdk=99f48219-b90c-4d4f-abe9-4d1367811b87,TRUE,keychronthailand,Keychron(คีย์ครอน),"฿4,390",4.9,2พัน,shopee
ประกันไทย [in stock] Keychron K4 V2 คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดบลูทูธ แบบไร้สาย - Mode 5 . 1 คีย์ภาษาไ,1345,https://shopee.co.th/ประกันไทย-in-stock-Keychron-K4-V2-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดบลูทูธ-แบบไร้สาย-Mode-5-.-1-คีย์ภาษาไ-i.931884308.20370700682?sp_atk=d85ea52c-6b33-42a4-b6ad-157494a49dd4&xptdk=d85ea52c-6b33-42a4-b6ad-157494a49dd4,TRUE,01wpl48exy,None,"฿1,345 - ฿1,493",None,0,shopee
Keychron K4 V2 คีย์บอร์ด Mechanical ไร้สาย  Keychron K4 Wireless Mechanical Keyboard Keychron Optical,1215,https://shopee.co.th/Keychron-K4-V2-คีย์บอร์ด-Mechanical-ไร้สาย-Keychron-K4-Wireless-Mechanical-Keyboard-Keychron-Optical-i.931884308.18170710534?sp_atk=1a542f5c-2407-446c-810c-4d04ee7af9d0&xptdk=1a542f5c-2407-446c-810c-4d04ee7af9d0,TRUE,01wpl48exy,None,"฿1,215 - ฿1,389",None,0,shopee
